name,status,country_code,funding_total_usd,category_list
CartMagnet,operating,ISR,Nan,Content|E-Commerce|Monetization|Online Shopping|Payments
Chi2gel,operating,ISR,658000,Biotechnology
Cimagine Media,operating,ISR,Nan,E-Commerce|Retail Technology
Colu,operating,ISR,2500000,Bitcoin|Developer APIs|Finance Technology|FinTech|Network Security
Commun.it,operating,ISR,100000,B2B|Sales and Marketing|Social CRM|Social Media|Software
CritiSense,operating,ISR,2200000,Biotechnology
Cronus Cyber Technologies,operating,ISR,2200000,Cyber Security
D Pharm LTD.,operating,ISR,33200000,Bio-Pharm|Business Development|Pharmaceuticals
discoapi,operating,ISR,150000,Content|Developer APIs|Search|Social Media
Docady,operating,ISR,1500000,Apps|Document Management|Events
Edenbase,operating,ISR,1100000,Software
Enlivex Therapeutics,operating,ISR,7000000,Health Care Information Technology|Medical Devices|Therapeutics
FanZone,operating,ISR,5500000,Entertainment|Social Network Media|Social Travel|Sports
RevAmp Technologies,operating,ISR,Nan,Clean Technology|Energy|Renewable Energies|Utilities
FiFully,operating,ISR,50000,E-Commerce|Fashion|Mobile Commerce
Friendsee,operating,ISR,1000000,Photography
GAMEin30,operating,ISR,1000000,Casual Games|Games|Messaging|Mobile|Mobile Games|Mobile Social|Social + Mobile + Local
GetEat,operating,ISR,1000000,Brand Marketing
GoTime Systems LTD.,closed,ISR,Nan,
Grid4C,operating,ISR,1500000,Environmental Innovation
HearMeOut,operating,ISR,750000,Apps|Audio|Entertainment|Social Network Media
Ku,operating,ISR,850000,iPhone|Mobile|Networking|Social Media
Hola,operating,ISR,24000000,Internet|Software
IDesia,closed,ISR,Nan,
IgnitAd,closed,ISR,4000000,Advertising
Immunovative Therapies,operating,ISR,12000000,Biotechnology|Pharmaceuticals
imVision Software Technologies Ltd.,operating,ISR,Nan,Information Technology|Telecommunications|Video
Ineze,operating,ISR,Nan,Search
insert,operating,ISR,5000000,Mobile
Intendu,operating,ISR,1200000,Health Care|Neuroscience
Intucell,acquired,ISR,8500000,Mobile
Jag.ag,closed,ISR,Nan,Mobile
Jovie,operating,ISR,500000,Apps|Kids|Video
Kanarit Music Ltd.,operating,ISR,Nan,Health Care|Music
KnockaTV,closed,ISR,4500000,Content|Games|Television|Video
Leviticus Cardio,operating,ISR,1500000,Medical Devices
LuckyFish Games,operating,ISR,1600000,Game
Lumenis,acquired,ISR,120000000,Biotechnology|Health Care|Medical
Lycium Networks,closed,ISR,8000000,Networking|Services|Technology
Magink display technologies,operating,ISR,37500000,Games
Matomy Money,acquired,ISR,1000000,Advertising
Medic Vision Brain Technologies,operating,ISR,1000000,Biotechnology
Metaform,operating,ISR,2881355.932,B2B|Biometrics|Image Recognition|Security
Morphisec,operating,ISR,7000000,Software
MValve technologies,operating,ISR,15000000,Medical Devices
Myndlift,operating,ISR,880000,Health and Wellness|Health Care Information Technology|Medical
MySizeID,ipo,ISR,4000000,Internet
myTwins,operating,ISR,Nan,
Netafim,operating,ISR,500000000,Agriculture|Clean Technology
Nolio,acquired,ISR,5000000,Software
Oktopost,operating,ISR,800000,B2B|SaaS|Social Media|Social Media Marketing|Software
OrthoSpace,operating,ISR,8000000,Biotechnology
Digital Layers Inc.,operating,ISR,2000000,Apps|Mobile Social|Music Services
PayBox,operating,ISR,100000,E-Commerce|Mobile Commerce|Mobile Payments|Payments|Peer-to-Peer|Social Commerce
Pegasus Technologies,acquired,ISR,9800000,Hardware + Software
Phytech,operating,ISR,3000000,Analytics
PicBadges,operating,ISR,Nan,Curated Web|Facebook Applications|Fashion
"Rainbow Medical, Ltd.",operating,ISR,25000000,Medical Devices
Relevancy Data,operating,ISR,20323,Advertising|Internet
Revolver,operating,ISR,500000,Games
Roojoom,operating,ISR,600000,Advertising|Internet Marketing|Software
RR Media,ipo,ISR,37400000,Enterprise Software|Telecommunications
SHADOW.COM,operating,ISR,3000000,Reviews and Recommendations|Search|Service Providers|Social Network Media
Shaker,operating,ISR,18000000,Natural Resources|Real Time|Social Media
Simplex,operating,ISR,1400000,Bitcoin|FinTech|Fraud Detection|Payments
SkyFormation,operating,ISR,Nan,Cloud Security|Data Security|Security
Social Fabrics,closed,ISR,Nan,Incentives|Reviews and Recommendations|Social Buying|Travel
Solebit LABS,operating,ISR,2000000,Computers|Cyber Security
Solocam,operating,ISR,13292,Photography
SoniVie,operating,ISR,2500000,
SpaceIL,operating,ISR,22400000,Public Relations|Space Travel
SponDooliesNanTech,operating,ISR,6500000,Hardware|Virtual Currency
StarNet Interactive,acquired,ISR,2700000,Curated Web
SureVisit,operating,ISR,2670000,B2B|SEO|Software
Swapper Trade,operating,ISR,100000,Coupons|E-Commerce
Sync.ME,operating,ISR,4000000,Software
TagMoment,operating,ISR,Nan,Mobile|Photography|Services|Social Media
TAKO,operating,ISR,Nan,Enterprises|Internet|Mobile|Software
Takwin Labs,operating,ISR,4500000,Social Commerce
Taranis,closed,ISR,Nan,Software
TechnionNanMachon Technologi Le' Israel,operating,ISR,6000000,Education
Topspin Medical,operating,ISR,16500000,Health Care Information Technology
TrackingDesk,operating,ISR,Nan,Advertising Platforms|Performance Marketing|Tracking
TransBiodiesel,operating,ISR,1500000,Biotechnology
Ubertesters,operating,ISR,250000,Android|iOS|iPhone|Mobile
Valcare Medical,operating,ISR,8000000,Health and Wellness|Medical Devices
Valensum,operating,ISR,5010000,Software
VideoDubber,operating,ISR,264000,Software
virtual tweens ltd,operating,ISR,Nan,Entertainment|Internet|Mobile|Social Media
VPNgeist,operating,ISR,Nan,Technology
WebyClip,operating,ISR,4200000,Internet
Yallo,operating,ISR,6300000,Apps|Mobile
Yokee by Famous Blue Media,operating,ISR,Nan,Audio|iPhone|Mobile|Music
YouFig,operating,ISR,268000,Collaboration|Enterprise Software|Networking
